name,position,team,element,round,fixture,opponent_team,was_home,kickoff_time,value,selected,minutes,starts,total_points,goals_scored,assists,clean_sheets,goals_conceded,saves,bonus,bps,yellow_cards,red_cards,own_goals,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,defensive_contribution,clearances_blocks_interceptions,recoveries,tackles,influence,creativity,threat,ict_index,xP
Antony Matheus dos Santos,MID,Man Utd,365,34,332,3,False,2025-04-27T13:00:00Z,57,20149,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Dara O'Shea,DEF,Ipswich,630,34,337,15,False,2025-04-26T14:00:00Z,39,138251,90,1,1,0,0,0,3,0,0,3,0,0,0,0.00,0.00,0.00,2.85,,,,,32.2,0.0,2.0,3.4,0.0
Kalvin Phillips,MID,Ipswich,359,34,337,15,False,2025-04-26T14:00:00Z,48,5853,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Ibrahima Konaté,DEF,Liverpool,326,34,335,18,True,2025-04-27T15:30:00Z,53,876699,90,1,2,0,0,0,1,0,0,6,0,0,0,0.04,0.02,0.06,0.46,,,,,12.0,1.9,4.0,1.8,0.0
Freddie Ladapo,FWD,Ipswich,276,34,337,15,False,2025-04-26T14:00:00Z,45,42634,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Levi Colwill,DEF,Chelsea,162,34,334,8,True,2025-04-26T11:30:00Z,44,317276,90,1,6,0,0,1,0,0,0,28,0,0,0,0.00,0.01,0.01,0.44,,,,,20.2,0.6,4.0,2.5,0.0
Nick Pope,GK,Newcastle,413,34,337,10,True,2025-04-26T14:00:00Z,50,899248,90,1,6,0,0,1,0,0,0,21,0,0,0,0.00,0.00,0.00,0.10,,,,,3.8,10.0,0.0,1.4,0.0
Luke Woolfenden,DEF,Ipswich,284,34,337,15,False,2025-04-26T14:00:00Z,39,135869,90,1,1,0,0,0,3,0,0,3,0,0,0,0.00,0.00,0.00,2.85,,,,,29.8,0.0,0.0,3.0,0.0
Łukasz Fabiański,GK,West Ham,521,34,333,5,False,2025-04-26T14:00:00Z,40,1229229,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Idrissa Gueye,MID,Everton,222,34,334,6,False,2025-04-26T11:30:00Z,48,22368,90,1,2,0,0,0,1,0,0,19,0,0,0,0.04,0.00,0.04,0.88,,,,,14.0,1.4,7.0,2.2,0.0
Joe Gomez,DEF,Liverpool,322,34,335,18,True,2025-04-27T15:30:00Z,47,44025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Dominic Calvert-Lewin,FWD,Everton,220,34,334,6,False,2025-04-26T11:30:00Z,54,118452,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Yerson Mosquera,DEF,Wolves,558,34,340,11,True,2025-04-26T14:00:00Z,38,86869,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Konstantinos Tsimikas,DEF,Liverpool,337,34,335,18,True,2025-04-27T15:30:00Z,46,24821,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Christian Nørgaard,MID,Brentford,101,34,338,16,False,2025-05-01T18:30:00Z,48,21819,90,1,2,0,0,1,0,0,0,8,1,0,0,0.06,0.01,0.07,0.97,,,,,8.8,13.3,7.0,2.9,0.0
Luca Williams-Barnett,MID,Spurs,689,34,335,12,False,2025-04-27T15:30:00Z,45,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Dejan Kulusevski,MID,Spurs,492,34,335,12,False,2025-04-27T15:30:00Z,62,261612,45,0,1,0,0,0,2,0,0,3,0,0,0,0.02,0.00,0.02,1.14,,,,,9.2,0.3,4.0,1.4,0.0
Pascal Groß,MID,Brighton,125,34,333,19,True,2025-04-26T14:00:00Z,65,2517,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Cody Gakpo,FWD,Liverpool,321,34,335,18,True,2025-04-27T15:30:00Z,72,590985,67,1,7,1,0,0,1,0,2,36,1,0,0,0.18,0.02,0.20,0.44,,,,,35.4,11.9,29.0,7.6,0.0
Mohammed Kudus,MID,West Ham,525,34,333,5,False,2025-04-26T14:00:00Z,62,277940,90,1,7,1,0,0,3,0,0,27,0,0,0,0.30,0.03,0.33,1.31,,,,,41.8,2.5,41.0,8.5,0.0
Benicio Baker-Boaitey,MID,Brighton,114,34,333,19,True,2025-04-26T14:00:00Z,45,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Vitaly Janelt,MID,Brentford,94,34,338,16,False,2025-05-01T18:30:00Z,48,20049,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Adama Traoré,MID,Fulham,239,34,339,17,False,2025-04-26T14:00:00Z,45,163646,45,0,5,0,1,0,0,0,1,23,0,0,0,0.04,0.37,0.41,0.24,,,,,32.4,54.3,8.0,9.5,0.0
