name,position,team,element,round,fixture,opponent_team,was_home,kickoff_time,value,selected,transfers_in,transfers_out,transfers_balance,minutes,starts,total_points,goals_scored,assists,clean_sheets,goals_conceded,saves,bonus,bps,yellow_cards,red_cards,own_goals,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,defensive_contribution,clearances_blocks_interceptions,recoveries,tackles,influence,creativity,threat,ict_index,xP
Mateo Joseph Fernández-Regatillo,FWD,Leeds,364,12,116,2,True,2025-11-23T14:00:00Z,50,1308,0,21,-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Kai Havertz,FWD,Arsenal,30,12,111,18,True,2025-11-23T16:30:00Z,73,41508,191,481,-290,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Raúl Jiménez Rodríguez,FWD,Fulham,337,12,115,17,True,2025-11-22T15:00:00Z,62,111578,7376,9526,-2150,90,1,6,1,0,1,0,0,1,29,1,0,0,0.96,0.02,0.98,0.17,4,1,3,0,34.6,22.0,63.0,12.0,0.0
Brian Brobbey,FWD,Sunderland,730,12,115,10,False,2025-11-22T15:00:00Z,55,18067,8353,1139,7214,26,0,1,0,0,0,1,0,0,3,0,0,0,0.00,0.00,0.00,1.40,5,2,2,1,5.4,0.3,2.0,0.8,0.0
Evann Guessand,MID,Aston Villa,677,12,116,11,False,2025-11-23T14:00:00Z,62,5049,423,299,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Antony dos Santos,MID,Man Utd,454,12,118,9,True,2025-11-24T20:00:00Z,59,7675,0,78,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Tyler Onyango,MID,Everton,704,12,118,14,False,2025-11-24T20:00:00Z,45,7368,0,188,-188,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Reinildo Mandava,DEF,Sunderland,541,13,128,4,True,2025-11-29T15:00:00Z,40,531008,3578,12693,-9115,90,1,4,0,1,0,2,0,0,8,0,0,0,0.03,0.01,0.04,1.70,5,3,8,2,12.8,1.7,6.0,2.1,0.0
Lewis Dobbin,MID,Aston Villa,57,13,121,20,True,2025-11-30T14:05:00Z,50,3311,0,33,-33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ryan Christie,MID,Bournemouth,87,13,128,17,False,2025-11-29T15:00:00Z,50,8888,132,859,-727,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Zeki Amdouni,FWD,Burnley,216,13,122,5,False,2025-11-29T15:00:00Z,48,2807,47,84,-37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
